bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
socioeconomic_control,anthropic_gdp_total,numeric,anthropic,usd,False,173,86.93,173,46943000000.0,285463000000.0,65000000.0,29184900000000.0
socioeconomic_control,oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,numeric,oecd,count,True,52,26.13,31,0.155,0.2325,-0.02,0.39
socioeconomic_control,wb_education_expenditure_pct_gdp,numeric,wb,pct,True,179,89.95,179,4.24739,2.210746,8e-06,16.39053
socioeconomic_control,wb_exports_pct_gdp,numeric,wb,pct,True,172,86.43,172,35.538202,31.697432,0.72093,191.53297
socioeconomic_control,wb_fdi_net_inflows,numeric,wb,count,True,191,95.98,191,1019486410.0,4487869941.980962,-108395568633.839,297058000000.0
socioeconomic_control,wb_fdi_pct_gdp,numeric,wb,pct,True,189,94.97,189,2.478967,3.783951,-1303.108267,170.537959
socioeconomic_control,wb_gdp_current_usd,numeric,wb,usd,True,194,97.49,194,46731190672.875595,272992322313.9136,62280311.585217,28750956130731.2
socioeconomic_control,wb_gdp_growth_annual_pct,numeric,wb,pct,True,193,96.98,193,3.327623,2.766429,-26.557526,43.819311
socioeconomic_control,wb_gdp_per_capita_ppp,numeric,wb,usd,True,189,94.97,189,18614.988069,40036.212091,1194.946814,155941.288211
socioeconomic_control,wb_gross_capital_formation_pct_gdp,numeric,wb,pct,True,168,84.42,168,23.333191,8.00825,0.252269,45.265737
socioeconomic_control,wb_high_tech_exports_pct_manufactured,numeric,wb,pct,True,170,85.43,168,6.261543,15.315652,0.0,76.670064
socioeconomic_control,wb_ict_goods_exports_pct,numeric,wb,pct,True,161,80.9,106,0.53,2.74,0.0,62.47
socioeconomic_control,wb_ict_service_exports_pct,numeric,wb,pct,True,173,86.93,173,6.921688,9.723551,0.058855,63.961715
socioeconomic_control,wb_inflation_consumer_prices,numeric,wb,count,True,181,90.95,181,3.143491,3.608514,-12.296984,219.883929
socioeconomic_control,wb_labor_force,numeric,wb,count,True,181,90.95,181,4731937.0,11859256.0,33628.0,767626880.0
socioeconomic_control,wb_mobile_subscriptions_per100,numeric,wb,pct,True,197,98.99,197,115.457279,44.355806,19.988583,574.152333
socioeconomic_control,wb_population,numeric,wb,count,True,197,98.99,197,9132629.0,29806830.0,9646.0,1450935791.0
socioeconomic_control,wb_rd_expenditure_pct_gdp,numeric,wb,pct,True,117,58.79,117,0.61479,1.29433,0.00609,6.34589
socioeconomic_control,wb_researchers_rd_per_million,numeric,wb,count,True,108,54.27,108,1101.16448,3599.018295,1.44569,18129.75165
socioeconomic_control,wb_secure_servers_per_1m,numeric,wb,count,True,196,98.49,196,738.327133,12685.329005,1.23158,464560.075958
socioeconomic_control,wb_tertiary_education_enrollment,numeric,wb,pct,True,157,78.89,157,50.801079,53.539284,2.566425,165.113419
socioeconomic_control,wb_trade_pct_gdp,numeric,wb,pct,True,172,86.43,172,81.550069,60.534577,1.995412,359.506711
socioeconomic_control,wb_unemployment_rate,numeric,wb,count,True,181,90.95,180,5.092,5.313,0.13,34.202
socioeconomic_control,wipo_expedu_score,numeric,wipo,score_0_100,True,114,57.29,114,45.357728,24.963618,0.0,100.0
socioeconomic_control,wipo_pisa_score,numeric,wipo,score_0_100,True,79,39.7,79,52.495636,34.47391,0.0,100.0
socioeconomic_control,wipo_rdexp_score,numeric,wipo,score_0_100,True,116,58.29,115,11.843717,20.811232,0.0,100.0
socioeconomic_control,wipo_scienggrad_score,numeric,wipo,score_0_100,True,110,55.28,110,37.209324,24.111254,0.0,100.0
socioeconomic_control,wipo_tertenrol_score,numeric,wipo,score_0_100,False,128,64.32,128,33.598413,34.309357,0.0,100.0
