iso3,country_name,region,income_group,n_data_regulatory_treatment,pct_coverage_regulatory_treatment,zscore_mean_regulatory_treatment,n_data_ecosystem_outcome,pct_coverage_ecosystem_outcome,zscore_mean_ecosystem_outcome,n_data_adoption_diffusion,pct_coverage_adoption_diffusion,zscore_mean_adoption_diffusion,n_data_socioeconomic_control,pct_coverage_socioeconomic_control,zscore_mean_socioeconomic_control,n_data_institutional_control,pct_coverage_institutional_control,zscore_mean_institutional_control,n_data_tech_infrastructure_control,pct_coverage_tech_infrastructure_control,zscore_mean_tech_infrastructure_control
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,30,96.77,1.4394,123,99.19,2.0252,8,57.14,3.819,27,96.43,4.1715,20,64.52,0.6963,153,91.62,1.8363
ARG,Argentina,Latin America & Caribbean ,Upper middle income,30,96.77,0.4857,121,97.58,0.3674,8,57.14,1.2365,28,100.0,6.7153,28,90.32,-0.0681,162,97.01,-0.1609
BRA,Brazil,Latin America & Caribbean ,Upper middle income,30,96.77,1.1902,124,100.0,1.0021,14,100.0,2.3172,27,96.43,8.5493,28,90.32,-0.3523,164,98.2,0.7198
CHL,Chile,Latin America & Caribbean ,High income,30,96.77,0.9587,123,99.19,0.7231,8,57.14,0.8752,28,100.0,1.8092,31,100.0,0.2872,166,99.4,0.4051
COL,Colombia,Latin America & Caribbean ,Upper middle income,30,96.77,0.2715,123,99.19,0.3394,14,100.0,0.7663,27,96.43,1.5135,31,100.0,-0.0793,165,98.8,0.3316
EST,Estonia,Europe & Central Asia,High income,13,41.94,2.2589,122,98.39,2.4931,11,78.57,0.1591,28,100.0,7.8809,31,100.0,0.3371,163,97.6,2.4674
GBR,United Kingdom,Europe & Central Asia,High income,31,100.0,8.2564,122,98.39,4.1263,13,92.86,5.1037,27,96.43,10.3344,31,100.0,0.7907,163,97.6,4.197
IRL,Ireland,Europe & Central Asia,High income,13,41.94,4.3639,123,99.19,2.7088,14,100.0,1.6889,28,100.0,9.2181,31,100.0,0.5274,162,97.01,2.4456
KOR,South Korea,East Asia & Pacific,High income,31,100.0,2.1174,123,99.19,4.972,13,92.86,5.2858,28,100.0,7.8538,31,100.0,0.7371,164,98.2,14.5841
MEX,Mexico,Latin America & Caribbean ,Upper middle income,13,41.94,1.3785,123,99.19,0.9567,8,57.14,1.8808,28,100.0,6.337,31,100.0,-0.1636,167,100.0,0.1269
PER,Peru,Latin America & Caribbean ,Upper middle income,22,70.97,-0.0819,124,100.0,0.1255,8,57.14,0.6785,26,92.86,0.7064,28,90.32,-0.2041,158,94.61,0.1615
SGP,Singapore,East Asia & Pacific,High income,31,100.0,4.1714,121,97.58,4.121,8,57.14,3.666,27,96.43,21.4247,27,87.1,1.0252,154,92.22,3.8217
URY,Uruguay,Latin America & Caribbean ,High income,13,41.94,1.5044,119,95.97,0.6041,8,57.14,0.5765,27,96.43,0.0324,27,87.1,0.4608,153,91.62,0.1994
USA,United States,North America,High income,31,100.0,40.8813,120,96.77,5.4912,10,71.43,38.9088,28,100.0,70.6676,29,93.55,0.5865,155,92.81,20.8358
