SOC or O*NET-SOC 2019 Title,bls_distribution
Management Occupations,10495770
Business and Financial Operations Occupations,10087830
Computer and Mathematical Occupations,5177400
Architecture and Engineering Occupations,2539660
"Life, Physical, and Social Science Occupations",1389430
Community and Social Service Occupations,2418130
Legal Occupations,1240630
Educational Instruction and Library Occupations,8744560
"Arts, Design, Entertainment, Sports, and Media Occupations",2106490
Healthcare Practitioners and Technical Occupations,9284210
Healthcare Support Occupations,7063530
Protective Service Occupations,3504330
Food Preparation and Serving Related Occupations,13247870
Building and Grounds Cleaning and Maintenance Occupations,4429070
Personal Care and Service Occupations,3040630
Sales and Related Occupations,13380660
Office and Administrative Support Occupations,18533450
"Farming, Fishing, and Forestry Occupations",432200
Construction and Extraction Occupations,6225630
"Installation, Maintenance, and Repair Occupations",5989460
Production Occupations,8770170
Transportation and Material Moving Occupations,13752760
