iso3,ai_patents_per100k,year,source
KOR,17.26851235,2023,Stanford_AI_Index_25_fig_1.2.4
LUX,15.30543343,2023,Stanford_AI_Index_25_fig_1.2.4
CHN,6.08154759,2023,Stanford_AI_Index_25_fig_1.2.4
USA,5.204605785,2023,Stanford_AI_Index_25_fig_1.2.4
JPN,4.577701054,2023,Stanford_AI_Index_25_fig_1.2.4
DEU,1.217579251,2023,Stanford_AI_Index_25_fig_1.2.4
SGP,0.980119128,2023,Stanford_AI_Index_25_fig_1.2.4
FIN,0.967064124,2023,Stanford_AI_Index_25_fig_1.2.4
SWE,0.740274501,2023,Stanford_AI_Index_25_fig_1.2.4
GBR,0.517922458,2023,Stanford_AI_Index_25_fig_1.2.4
DNK,0.470829427,2023,Stanford_AI_Index_25_fig_1.2.4
FRA,0.434925948,2023,Stanford_AI_Index_25_fig_1.2.4
NLD,0.402749504,2023,Stanford_AI_Index_25_fig_1.2.4
AUS,0.382610747,2023,Stanford_AI_Index_25_fig_1.2.4
GRC,0.269086187,2023,Stanford_AI_Index_25_fig_1.2.4
AUT,0.229966597,2023,Stanford_AI_Index_25_fig_1.2.4
CHE,0.191267126,2023,Stanford_AI_Index_25_fig_1.2.4
CAN,0.174573338,2023,Stanford_AI_Index_25_fig_1.2.4
BGR,0.155120625,2023,Stanford_AI_Index_25_fig_1.2.4
PRT,0.141801411,2023,Stanford_AI_Index_25_fig_1.2.4
ISR,0.122993666,2023,Stanford_AI_Index_25_fig_1.2.4
ESP,0.101348745,2023,Stanford_AI_Index_25_fig_1.2.4
CZE,0.092046772,2023,Stanford_AI_Index_25_fig_1.2.4
NOR,0.090586373,2023,Stanford_AI_Index_25_fig_1.2.4
BEL,0.084836185,2023,Stanford_AI_Index_25_fig_1.2.4
ITA,0.077974725,2023,Stanford_AI_Index_25_fig_1.2.4
NZL,0.076582872,2023,Stanford_AI_Index_25_fig_1.2.4
EST,0.072977466,2023,Stanford_AI_Index_25_fig_1.2.4
LTU,0.069647947,2023,Stanford_AI_Index_25_fig_1.2.4
POL,0.057240434,2023,Stanford_AI_Index_25_fig_1.2.4
LVA,0.053263877,2023,Stanford_AI_Index_25_fig_1.2.4
SVN,0.047159556,2023,Stanford_AI_Index_25_fig_1.2.4
MYS,0.042703048,2023,Stanford_AI_Index_25_fig_1.2.4
HUN,0.041700609,2023,Stanford_AI_Index_25_fig_1.2.4
IRL,0.037681815,2023,Stanford_AI_Index_25_fig_1.2.4
SVK,0.036854539,2023,Stanford_AI_Index_25_fig_1.2.4
IND,0.031639637,2023,Stanford_AI_Index_25_fig_1.2.4
ZAF,0.03163937,2023,Stanford_AI_Index_25_fig_1.2.4
ROU,0.031480399,2023,Stanford_AI_Index_25_fig_1.2.4
BRA,0.023680888,2023,Stanford_AI_Index_25_fig_1.2.4
RUS,0.019467951,2023,Stanford_AI_Index_25_fig_1.2.4
JOR,0.01748372,2023,Stanford_AI_Index_25_fig_1.2.4
MAR,0.015909842,2023,Stanford_AI_Index_25_fig_1.2.4
SAU,0.006012453,2023,Stanford_AI_Index_25_fig_1.2.4
CHL,0.005086771,2023,Stanford_AI_Index_25_fig_1.2.4
TUR,0.004687905,2023,Stanford_AI_Index_25_fig_1.2.4
ARG,0.004391898,2023,Stanford_AI_Index_25_fig_1.2.4
VNM,0.002989471,2023,Stanford_AI_Index_25_fig_1.2.4
COL,0.001911273,2023,Stanford_AI_Index_25_fig_1.2.4
THA,0.001394653,2023,Stanford_AI_Index_25_fig_1.2.4
PAK,0.001212099,2023,Stanford_AI_Index_25_fig_1.2.4
PHL,0.000870389,2023,Stanford_AI_Index_25_fig_1.2.4
MEX,0.000770774,2023,Stanford_AI_Index_25_fig_1.2.4
IDN,0.000355631,2023,Stanford_AI_Index_25_fig_1.2.4
