iso3,n_atributos,pct_completitud
ITA,170,83.7
FIN,169,83.3
FRA,168,82.8
ESP,167,82.3
BEL,167,82.3
DEU,166,81.8
GBR,164,80.8
IND,163,80.3
AUT,163,80.3
AUS,163,80.3
SWE,162,79.8
ARE,161,79.3
TUR,160,78.8
POL,160,78.8
IRL,160,78.8
NOR,160,78.8
NLD,159,78.3
KOR,159,78.3
CZE,158,77.8
DNK,158,77.8
CHE,158,77.8
CAN,158,77.8
HUN,154,75.9
NZL,153,75.4
ISR,153,75.4
PRT,153,75.4
EST,152,74.9
ROU,152,74.9
NGA,151,74.4
GRC,151,74.4
LTU,150,73.9
CRI,150,73.9
BRA,150,73.9
JPN,150,73.9
SVN,148,72.9
HRV,148,72.9
LUX,148,72.9
LVA,148,72.9
MEX,148,72.9
ARG,146,71.9
SAU,145,71.4
BGR,145,71.4
ZAF,144,70.9
CYP,143,70.4
URY,142,70.0
CHN,142,70.0
PER,141,69.5
MAR,140,69.0
RUS,139,68.5
IDN,138,68.0
KAZ,138,68.0
ISL,138,68.0
USA,137,67.5
TUN,136,67.0
COL,135,66.5
MYS,134,66.0
THA,134,66.0
EGY,134,66.0
UGA,131,64.5
VNM,130,64.0
PHL,124,61.1
CMR,123,60.6
JOR,123,60.6
ARM,121,59.6
CHL,117,57.6
SVK,115,56.7
ECU,114,56.2
MLT,114,56.2
SGP,114,56.2
KEN,113,55.7
MUS,112,55.2
UKR,112,55.2
PAN,109,53.7
SRB,107,52.7
BLR,103,50.7
GHA,103,50.7
BGD,102,50.2
MNG,101,49.8
LBN,101,49.8
BHR,100,49.3
LKA,96,47.3
PAK,96,47.3
SYC,96,47.3
BRB,95,46.8
TWN,71,35.0
BLZ,57,28.1
